Sampling date,Days post-dosing,Box #,Sample Type,Box Zone,Depth interval (in cm),Sample Replicate Number,Analyte,Analyte Units,199Hg-FeS,nano-200HgS,201Hg-humic,202Hg2+,Ambient Hg
#VALUE!,360,17,s,A,0-0.5,F6,MeHg,ng/g dw,,,,,
#VALUE!,360,18,s,A,0-0.5,F1,MeHg,ng/g dw,,,,,
#VALUE!,360,18,s,A,0-0.5,F2,MeHg,ng/g dw,,,,,
#VALUE!,360,18,s,A,0-0.5,F3,MeHg,ng/g dw,,,,,
#VALUE!,360,18,s,A,0-0.5,F4,MeHg,ng/g dw,,,,,
#VALUE!,360,18,s,A,0-0.5,F4,MeHg,ng/g dw,,,,,
#VALUE!,360,18,s,A,0-0.5,F6,MeHg,ng/g dw,,,,,
#VALUE!,360,16,s,T,0-2,1,MeHg,ng/g dw,,,,,
#VALUE!,360,16,s,T,0-2,2,MeHg,ng/g dw,,,,,
#VALUE!,360,16,s,T,0-2,3,MeHg,ng/g dw,,,,,
#VALUE!,360,16,s,T,0-2,4,MeHg,ng/g dw,,,,,
#VALUE!,360,16,s,T,0-2,5,MeHg,ng/g dw,,,,,
