site name,site code,state,system,subsite,latitude,longitude,individual ID,sample_date,sample date,sample month,sample year,sample type,sample depth (cm),sediment MeHg (ng/g DW),mehg_units,sediment THg (ng/g DW),total_hg_units,%LOI,%MeHg,,,,notes,notes 2,notes 3,,,,,file name for data pull
Goshen Cove,GC-L,CT,Long Island Sound,LOC,41.30193,-72.11815,GC LOC,08/01/2015,,August,2015,grab,0-4,0.080323723614965,(ng/g DW),26.5894,(ng/g DW),5.15873015873026,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Goshen Cove,GC-L,CT,Long Island Sound,LOC,41.30193,-72.11815,GC LOC,08/01/2015,,August,2015,grab,0-4,0.028164688024539,(ng/g DW),16.5428,(ng/g DW),3.8123332388202,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Goshen Cove,GC-L,CT,Long Island Sound,LOC,41.30193,-72.11815,GC LOC,08/01/2015,,August,2015,grab,0-4,0.061018553215674,(ng/g DW),22.3957,(ng/g DW),4.97644567853293,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Goshen Cove,GC-L,CT,Long Island Sound,LOC,41.30193,-72.11815,GC LOC,08/01/2015,,August,2015,grab,0-4,0.021827103955505,(ng/g DW),5.0369,(ng/g DW),1.43229166666666,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Goshen Cove,GC-L,CT,Long Island Sound,LOC,41.30193,-72.11815,GC LOC,08/01/2015,,August,2015,grab,0-4,0.054357883453047,(ng/g DW),18.1303,(ng/g DW),6.7253372043791,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Goshen Cove,GC-L,CT,Long Island Sound,LOC,41.30193,-72.11815,GC LOC,08/01/2015,,August,2015,grab,0-4,0.097500585730477,(ng/g DW),10.7618,(ng/g DW),2.99548715779086,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Cedar Creek,SB-H,DE,Delaware River,HOC,38.94524,-75.31839,SB HOC,07/01/2015,,July,2015,grab,0-4,3.1231863,(ng/g DW),171.4103,(ng/g DW),9.69294401648294,2,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Cedar Creek,SB-H,DE,Delaware River,HOC,38.94524,-75.31839,SB HOC,07/01/2015,,July,2015,grab,0-4,2.0151746815903,(ng/g DW),152.3528,(ng/g DW),9.61388949552299,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Cedar Creek,SB-H,DE,Delaware River,HOC,38.94524,-75.31839,SB HOC,07/01/2015,,July,2015,grab,0-4,2.4050741,(ng/g DW),151.2933,(ng/g DW),9.05486084296193,2,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Cedar Creek,SB-H,DE,Delaware River,HOC,38.94524,-75.31839,SB HOC,07/01/2015,,July,2015,grab,0-4,3.9355758,(ng/g DW),165.1974,(ng/g DW),9.55967875934645,2,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Cedar Creek,SB-H,DE,Delaware River,HOC,38.94524,-75.31839,SB HOC,07/01/2015,,July,2015,grab,0-4,2.02098089965896,(ng/g DW),118.2566,(ng/g DW),7.08931786776099,2,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Cedar Creek,SB-H,DE,Delaware River,HOC,38.94524,-75.31839,SB HOC,07/01/2015,,July,2015,grab,0-4,2.11094898112038,(ng/g DW),121.655,(ng/g DW),8.3615102845872,2,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Cedar Creek,SB-H,DE,Delaware River,HOC,38.94524,-75.31839,SB HOC,07/01/2015,,July,2015,grab,0-4,2.7541007,(ng/g DW),171.4608,(ng/g DW),11.5689615996365,2,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
